SrcFileName,ReportedDateTime,Athletic Fields,Garden,Hard Court Surfaces,Picnic Areas,Playground/Tot Lot,Trails/Paths,Wading Pool
_GitHub_ExcelDataCollectionParser2_data_sample_folder_2_2017_Location_E_TypeA_,2017-06-15 12:00:00,19.0,,22.0,30.0,9.0,13.0,14.0
_GitHub_ExcelDataCollectionParser2_data_sample_folder_2_2017_Location_E_TypeA_,2017-06-15 13:00:00,8.0,,12.0,28.0,20.0,32.0,30.0
_GitHub_ExcelDataCollectionParser2_data_sample_folder_2_2017_Location_E_TypeA_,2017-06-15 14:00:00,4.0,,19.0,0.0,30.0,12.0,0.0
_GitHub_ExcelDataCollectionParser2_data_sample_folder_2_2017_Location_E_TypeA_,2017-06-15 15:00:00,6.0,,19.0,30.0,19.0,6.0,16.0
_GitHub_ExcelDataCollectionParser2_data_sample_folder_2_2017_Location_E_TypeA_,2017-06-15 16:00:00,27.0,,7.0,18.0,17.0,29.0,12.0
_GitHub_ExcelDataCollectionParser2_data_sample_folder_2_2017_Location_E_TypeA_,2017-06-15 17:00:00,5.0,,32.0,0.0,25.0,25.0,9.0
_GitHub_ExcelDataCollectionParser2_data_sample_folder_2_2017_Location_E_TypeA_,2017-06-15 18:00:00,8.0,,31.0,21.0,15.0,6.0,4.0
_GitHub_ExcelDataCollectionParser2_data_sample_folder_2_2017_Location_E_TypeA_,2017-06-15 19:00:00,20.0,,5.0,7.0,17.0,1.0,0.0
_GitHub_ExcelDataCollectionParser2_data_sample_folder_2_2017_Location_E_TypeA_,2017-06-19 17:00:00,3.0,,0.0,20.0,3.0,5.0,0.0
_GitHub_ExcelDataCollectionParser2_data_sample_folder_2_2017_Location_E_TypeA_,2017-06-19 18:00:00,34.0,,12.0,18.0,6.0,8.0,4.0
_GitHub_ExcelDataCollectionParser2_data_sample_folder_2_2017_Location_E_TypeA_,2017-06-19 19:00:00,43.0,,9.0,2.0,17.0,2.0,1.0
_GitHub_ExcelDataCollectionParser2_data_sample_folder_2_2017_Location_E_TypeA_,2017-06-19 20:00:00,33.0,,8.0,6.0,2.0,2.0,0.0
_GitHub_ExcelDataCollectionParser2_data_sample_folder_2_2017_Location_E_TypeA_,2017-06-19 21:00:00,16.0,,4.0,0.0,2.0,2.0,0.0
_GitHub_ExcelDataCollectionParser2_data_sample_folder_2_2017_Location_E_TypeA_,2017-06-20 17:00:00,1.0,,8.0,10.0,15.0,0.0,
_GitHub_ExcelDataCollectionParser2_data_sample_folder_2_2017_Location_E_TypeA_,2017-06-20 18:00:00,4.0,,6.0,2.0,8.0,0.0,
_GitHub_ExcelDataCollectionParser2_data_sample_folder_2_2017_Location_E_TypeA_,2017-06-20 19:00:00,4.0,,8.0,8.0,3.0,1.0,7.0
_GitHub_ExcelDataCollectionParser2_data_sample_folder_2_2017_Location_E_TypeA_,2017-06-20 20:00:00,11.0,,0.0,1.0,5.0,2.0,
_GitHub_ExcelDataCollectionParser2_data_sample_folder_2_2017_Location_E_TypeA_,2017-06-20 21:00:00,2.0,,0.0,2.0,0.0,0.0,4.0
_GitHub_ExcelDataCollectionParser2_data_sample_folder_2_2017_Location_E_TypeA_,2017-06-21 17:00:00,0.0,12.0,20.0,4.0,12.0,,20.0
_GitHub_ExcelDataCollectionParser2_data_sample_folder_2_2017_Location_E_TypeA_,2017-06-21 18:00:00,12.0,,0.0,6.0,4.0,,20.0
_GitHub_ExcelDataCollectionParser2_data_sample_folder_2_2017_Location_E_TypeA_,2017-06-21 19:00:00,12.0,,4.0,4.0,6.0,,7.0
_GitHub_ExcelDataCollectionParser2_data_sample_folder_2_2017_Location_E_TypeA_,2017-06-21 20:00:00,12.0,,4.0,2.0,0.0,2.0,0.0
_GitHub_ExcelDataCollectionParser2_data_sample_folder_2_2017_Location_E_TypeA_,2017-06-21 21:00:00,12.0,,0.0,2.0,0.0,1.0,4.0
_GitHub_ExcelDataCollectionParser2_data_sample_folder_2_2017_Location_E_TypeA_,2017-06-23 17:00:00,0.0,,4.0,0.0,15.0,3.0,4.0
_GitHub_ExcelDataCollectionParser2_data_sample_folder_2_2017_Location_E_TypeA_,2017-06-23 18:00:00,0.0,,4.0,3.0,8.0,2.0,5.0
_GitHub_ExcelDataCollectionParser2_data_sample_folder_2_2017_Location_E_TypeA_,2017-06-23 19:00:00,20.0,,9.0,5.0,32.0,0.0,3.0
_GitHub_ExcelDataCollectionParser2_data_sample_folder_2_2017_Location_E_TypeA_,2017-06-23 20:00:00,34.0,,4.0,0.0,15.0,1.0,
_GitHub_ExcelDataCollectionParser2_data_sample_folder_2_2017_Location_E_TypeA_,2017-06-23 21:00:00,2.0,,0.0,1.0,2.0,2.0,
_GitHub_ExcelDataCollectionParser2_data_sample_folder_2_2017_Location_E_TypeA_,2017-06-24 10:00:00,7.0,,16.0,1.0,2.0,6.0,9.0
_GitHub_ExcelDataCollectionParser2_data_sample_folder_2_2017_Location_E_TypeA_,2017-06-24 19:00:00,4.0,,1.0,2.0,3.0,13.0,26.0
_GitHub_ExcelDataCollectionParser2_data_sample_folder_2_2017_Location_E_TypeA_,2017-06-24 20:00:00,19.0,,7.0,8.0,21.0,25.0,23.0
_GitHub_ExcelDataCollectionParser2_data_sample_folder_2_2017_Location_E_TypeA_,2017-06-24 09:00:00,21.0,,1.0,4.0,20.0,27.0,1.0
_GitHub_ExcelDataCollectionParser2_data_sample_folder_2_2017_Location_E_TypeA_,2017-06-24 21:00:00,28.0,,19.0,20.0,5.0,23.0,24.0
_GitHub_ExcelDataCollectionParser2_data_sample_folder_2_2017_Location_E_TypeA_,2017-06-25 12:00:00,16.0,,22.0,17.0,28.0,23.0,3.0
_GitHub_ExcelDataCollectionParser2_data_sample_folder_2_2017_Location_E_TypeA_,2017-06-25 13:00:00,8.0,,5.0,9.0,26.0,18.0,0.0
_GitHub_ExcelDataCollectionParser2_data_sample_folder_2_2017_Location_E_TypeA_,2017-06-25 14:00:00,10.0,,14.0,14.0,1.0,20.0,28.0
_GitHub_ExcelDataCollectionParser2_data_sample_folder_2_2017_Location_E_TypeA_,2017-06-25 15:00:00,13.0,,6.0,3.0,7.0,26.0,1.0
_GitHub_ExcelDataCollectionParser2_data_sample_folder_2_2017_Location_E_TypeA_,2017-06-25 16:00:00,13.0,,15.0,22.0,22.0,22.0,7.0
_GitHub_ExcelDataCollectionParser2_data_sample_folder_2_2017_Location_E_TypeA_,2017-06-25 17:00:00,25.0,,15.0,16.0,20.0,8.0,0.0
_GitHub_ExcelDataCollectionParser2_data_sample_folder_2_2017_Location_E_TypeA_,2017-06-26 17:00:00,2.0,,4.0,6.0,57.0,3.0,
_GitHub_ExcelDataCollectionParser2_data_sample_folder_2_2017_Location_E_TypeA_,2017-06-26 18:00:00,0.0,,8.0,9.0,12.0,0.0,
_GitHub_ExcelDataCollectionParser2_data_sample_folder_2_2017_Location_E_TypeA_,2017-06-26 19:00:00,26.0,,8.0,16.0,15.0,4.0,
_GitHub_ExcelDataCollectionParser2_data_sample_folder_2_2017_Location_E_TypeA_,2017-06-26 20:00:00,20.0,,2.0,48.0,13.0,5.0,
