SrcFileName,ReportedDateTime,Athletic Fields,Garden,Hard Court Surfaces,Picnic Areas,Playground/Tot Lot,Trails/Paths,Wading Pool
_Volumes_Samsung_USB_ExcelDataCollectionParser_data_sample_folder_2_2017_Location_E_TypeA_,2017-09-10 10:00:00,2.0,5.0,7.0,7.0,10.0,4.0,0.0
_Volumes_Samsung_USB_ExcelDataCollectionParser_data_sample_folder_2_2017_Location_E_TypeA_,2017-09-10 11:00:00,5.0,0.0,7.0,10.0,0.0,0.0,5.0
_Volumes_Samsung_USB_ExcelDataCollectionParser_data_sample_folder_2_2017_Location_E_TypeA_,2017-09-10 12:00:00,6.0,5.0,9.0,9.0,9.0,3.0,6.0
_Volumes_Samsung_USB_ExcelDataCollectionParser_data_sample_folder_2_2017_Location_E_TypeA_,2017-09-10 13:00:00,0.0,1.0,8.0,2.0,1.0,11.0,2.0
_Volumes_Samsung_USB_ExcelDataCollectionParser_data_sample_folder_2_2017_Location_E_TypeA_,2017-09-10 14:00:00,9.0,1.0,11.0,9.0,5.0,11.0,2.0
_Volumes_Samsung_USB_ExcelDataCollectionParser_data_sample_folder_2_2017_Location_E_TypeA_,2017-09-10 17:00:00,10.0,,5.0,11.0,16.0,1.0,2.0
_Volumes_Samsung_USB_ExcelDataCollectionParser_data_sample_folder_2_2017_Location_E_TypeA_,2017-09-10 18:00:00,15.0,,4.0,14.0,23.0,2.0,6.0
_Volumes_Samsung_USB_ExcelDataCollectionParser_data_sample_folder_2_2017_Location_E_TypeA_,2017-09-10 19:00:00,110.0,,3.0,14.0,22.0,3.0,7.0
_Volumes_Samsung_USB_ExcelDataCollectionParser_data_sample_folder_2_2017_Location_E_TypeA_,2017-09-10 20:00:00,111.0,,3.0,15.0,27.0,1.0,6.0
_Volumes_Samsung_USB_ExcelDataCollectionParser_data_sample_folder_2_2017_Location_E_TypeA_,2017-09-11 10:00:00,2.0,5.0,,7.0,10.0,,0.0
_Volumes_Samsung_USB_ExcelDataCollectionParser_data_sample_folder_2_2017_Location_E_TypeA_,2017-09-11 11:00:00,5.0,0.0,7.0,10.0,0.0,0.0,5.0
