SrcFileName,ReportedDateTime,Athletic Fields,Garden,Hard Court Surfaces,Picnic Areas,Playground/Tot Lot,Wading Pool
_GitHub_ExcelDataCollectionParser2_data_sample_folder_3_2017_LocationD_TypeB_,2017-07-03 12:00:00,0.0,14.0,6.0,5.0,11.0,10.0
_GitHub_ExcelDataCollectionParser2_data_sample_folder_3_2017_LocationD_TypeB_,2017-07-03 13:00:00,0.0,16.0,11.0,16.0,8.0,2.0
_GitHub_ExcelDataCollectionParser2_data_sample_folder_3_2017_LocationD_TypeB_,2017-07-03 14:00:00,0.0,3.0,11.0,7.0,14.0,5.0
_GitHub_ExcelDataCollectionParser2_data_sample_folder_3_2017_LocationD_TypeB_,2017-07-03 15:00:00,0.0,5.0,13.0,5.0,0.0,3.0
_GitHub_ExcelDataCollectionParser2_data_sample_folder_3_2017_LocationD_TypeB_,2017-07-03 16:00:00,0.0,1.0,2.0,12.0,6.0,12.0
_GitHub_ExcelDataCollectionParser2_data_sample_folder_3_2017_LocationD_TypeB_,2017-07-03 17:00:00,0.0,8.0,4.0,18.0,16.0,18.0
_GitHub_ExcelDataCollectionParser2_data_sample_folder_3_2017_LocationD_TypeB_,2017-07-03 18:00:00,2.0,17.0,4.0,16.0,15.0,2.0
_GitHub_ExcelDataCollectionParser2_data_sample_folder_3_2017_LocationD_TypeB_,2017-07-03 19:00:00,0.0,18.0,6.0,8.0,17.0,9.0
_GitHub_ExcelDataCollectionParser2_data_sample_folder_3_2017_LocationD_TypeB_,2017-07-05 12:00:00,0.0,0.0,0.0,12.0,3.0,15.0
_GitHub_ExcelDataCollectionParser2_data_sample_folder_3_2017_LocationD_TypeB_,2017-07-05 13:00:00,0.0,0.0,0.0,7.0,1.0,10.0
_GitHub_ExcelDataCollectionParser2_data_sample_folder_3_2017_LocationD_TypeB_,2017-07-05 14:00:00,0.0,0.0,3.0,10.0,15.0,10.0
_GitHub_ExcelDataCollectionParser2_data_sample_folder_3_2017_LocationD_TypeB_,2017-07-05 15:00:00,0.0,0.0,0.0,14.0,18.0,15.0
_GitHub_ExcelDataCollectionParser2_data_sample_folder_3_2017_LocationD_TypeB_,2017-07-05 16:00:00,0.0,2.0,0.0,17.0,17.0,15.0
_GitHub_ExcelDataCollectionParser2_data_sample_folder_3_2017_LocationD_TypeB_,2017-07-05 17:00:00,0.0,2.0,0.0,1.0,9.0,0.0
_GitHub_ExcelDataCollectionParser2_data_sample_folder_3_2017_LocationD_TypeB_,2017-07-05 18:00:00,5.0,0.0,0.0,16.0,12.0,10.0
_GitHub_ExcelDataCollectionParser2_data_sample_folder_3_2017_LocationD_TypeB_,2017-07-05 19:00:00,0.0,0.0,3.0,14.0,1.0,0.0
_GitHub_ExcelDataCollectionParser2_data_sample_folder_3_2017_LocationD_TypeB_,2017-07-06 12:00:00,0.0,0.0,0.0,4.0,6.0,5.0
_GitHub_ExcelDataCollectionParser2_data_sample_folder_3_2017_LocationD_TypeB_,2017-07-06 13:00:00,0.0,0.0,0.0,0.0,3.0,23.0
