SrcFileName,ReportedDateTime,Athletic Fields,Garden,Hard Court Surfaces,Picnic Areas,Playground/Tot Lot,Trails/Paths,Wading Pool
_Users_yarribryn_Documents_GitHub_ExcelDataCollectionParser_data_sample_folder_3_2017_Location_E_TypeA_,2017-10-01 11:00:00,3.0,0.0,6.0,6.0,5.0,5.0,2.0
_Users_yarribryn_Documents_GitHub_ExcelDataCollectionParser_data_sample_folder_3_2017_Location_E_TypeA_,2017-10-01 12:00:00,2.0,1.0,7.0,1.0,5.0,4.0,6.0
_Users_yarribryn_Documents_GitHub_ExcelDataCollectionParser_data_sample_folder_3_2017_Location_E_TypeA_,2017-10-01 13:00:00,8.0,11.0,4.0,2.0,7.0,9.0,3.0
_Users_yarribryn_Documents_GitHub_ExcelDataCollectionParser_data_sample_folder_3_2017_Location_E_TypeA_,2017-10-01 14:00:00,7.0,0.0,7.0,6.0,8.0,4.0,0.0
_Users_yarribryn_Documents_GitHub_ExcelDataCollectionParser_data_sample_folder_3_2017_Location_E_TypeA_,2017-10-01 15:00:00,8.0,3.0,0.0,11.0,9.0,3.0,9.0
_Users_yarribryn_Documents_GitHub_ExcelDataCollectionParser_data_sample_folder_3_2017_Location_E_TypeA_,2017-10-20 16:00:00,10.0,,4.0,2.0,1.0,9.0,6.0
_Users_yarribryn_Documents_GitHub_ExcelDataCollectionParser_data_sample_folder_3_2017_Location_E_TypeA_,2017-10-20 17:00:00,100.0,,10.0,5.0,7.0,8.0,3.0
_Users_yarribryn_Documents_GitHub_ExcelDataCollectionParser_data_sample_folder_3_2017_Location_E_TypeA_,2017-10-20 18:00:00,160.0,,10.0,2.0,5.0,4.0,3.0
_Users_yarribryn_Documents_GitHub_ExcelDataCollectionParser_data_sample_folder_3_2017_Location_E_TypeA_,2017-10-20 19:00:00,140.0,,0.0,3.0,2.0,1.0,6.0
_Users_yarribryn_Documents_GitHub_ExcelDataCollectionParser_data_sample_folder_3_2017_Location_E_TypeA_,2017-10-20 20:00:00,4.0,,1.0,1.0,2.0,9.0,10.0
_Users_yarribryn_Documents_GitHub_ExcelDataCollectionParser_data_sample_folder_3_2017_Location_E_TypeA_,2017-10-21 13:00:00,10.0,,4.0,2.0,1.0,9.0,6.0
